model_type,alpha,CV_R^2,Cycle,Normalized Charge Capacity [-],Normalized Cumulative Capacity [-],Rest Fraction,Charge Fraction,Discharge Fraction,Total Capacity,Avg Current,Max Voltage
linear,,0.9971561033227188,1.1434721505007408,-0.41646286237826613,-1.2674802285634212,-0.040105306939092575,0.03328526987012901,-0.019279114425768944,1.2742013787912707,-0.0785257865327368,14.50379837373267
linear,,0.9971561033227188,1.1434721505007408,-0.41646286237826613,-1.2674802285634212,-0.040105306939092575,0.03328526987012901,-0.019279114425768944,1.2742013787912707,-0.0785257865327368,14.50379837373267
linear,,0.9971561033227188,1.1434721505007408,-0.41646286237826613,-1.2674802285634212,-0.040105306939092575,0.03328526987012901,-0.019279114425768944,1.2742013787912707,-0.0785257865327368,14.50379837373267
linear,,0.9971561033227188,1.1434721505007408,-0.41646286237826613,-1.2674802285634212,-0.040105306939092575,0.03328526987012901,-0.019279114425768944,1.2742013787912707,-0.0785257865327368,14.50379837373267
linear,,0.9971561033227188,1.1434721505007408,-0.41646286237826613,-1.2674802285634212,-0.040105306939092575,0.03328526987012901,-0.019279114425768944,1.2742013787912707,-0.0785257865327368,14.50379837373267
ridge,10.0,0.9977103545669459,-0.06937781947880439,0.12683429808851088,-0.12174154177382823,-0.14651914357495335,0.12795807926586855,-0.09235647025876326,0.8097018515515055,-0.22762014093645996,0.012453581943348262
ridge,25.0,0.9975522876371616,-0.062064462817421076,0.28493999070399223,-0.08580712369358282,-0.1027619602781985,0.09451484864692565,-0.0812325534715125,0.6711605035318972,-0.1606759382759145,0.007538697401641615
ridge,50.0,0.997432916497799,-0.0488297304697744,0.3683424027397992,-0.06250626567059721,-0.07374148819852436,0.07116996398149374,-0.06983678598797585,0.5992615563751206,-0.11777999416945478,0.005537161453031599
ridge,75.0,0.9973723528857434,-0.040579100863906974,0.4018890287113089,-0.05065083190540552,-0.06129171770415641,0.06053426997878799,-0.0628066010199977,0.5698404377535247,-0.10028677979655094,0.0048053532796361285
ridge,90.0,0.9973476336247948,-0.036923288479103124,0.4137884702709678,-0.045723378851630275,-0.056818151588420476,0.056512534006283345,-0.0595904360839544,0.5591176773680469,-0.09429223514024207,0.004555415353607817
lasso,0.1,0.997724208039091,-0.0,0.0,-0.0,0.0,-0.0,-0.0,0.9740406700098155,-0.0,0.0
lasso,0.25,0.9973207468434004,-0.0,0.0,-0.0,0.0,-0.0,-0.0,0.9536623930225565,-0.0,0.0
lasso,0.5,0.9956310601761784,-0.0,0.0,-0.0,0.0,-0.0,-0.0,0.9196985980437907,-0.0,0.0
lasso,0.75,0.9926698093326172,-0.0,0.0,-0.0,0.0,-0.0,0.0,0.8857348030650253,-0.0,0.0
lasso,0.9,0.9902827080218378,-0.0,0.0,-0.0,0.0,-0.0,0.0,0.8653565260777663,-0.0,0.0
